%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1559193233131255651,0,1559193233131255651,vrs_gps,0,3,37.397073926666664,127.10720705500002,46.514,0.0012250000000000002,0.0,0.0,0.0,0.0011560000000000001,0.0,0.0,0.0,0.008649,2
1559193234130166271,1,1559193234130166271,vrs_gps,0,3,37.397073905,127.10720701166669,46.5271,0.0012250000000000002,0.0,0.0,0.0,0.0011560000000000001,0.0,0.0,0.0,0.008649,2
1559193235130535445,2,1559193235130535445,vrs_gps,0,3,37.39707389833333,127.10720700666667,46.5201,0.0012250000000000002,0.0,0.0,0.0,0.0011560000000000001,0.0,0.0,0.0,0.008836,2
1559193236131044892,3,1559193236131044892,vrs_gps,0,3,37.39707448,127.10720699333334,46.5312,0.0012250000000000002,0.0,0.0,0.0,0.0011560000000000001,0.0,0.0,0.0,0.008649,2
1559193237131584071,4,1559193237131584071,vrs_gps,0,3,37.397080800000005,127.10720740000001,46.494,0.0011560000000000001,0.0,0.0,0.0,0.0010890000000000001,0.0,0.0,0.0,0.008464,2
1559193238130293904,5,1559193238130293904,vrs_gps,0,3,37.397095998333334,127.10720779666666,46.4524,0.0011560000000000001,0.0,0.0,0.0,0.0010890000000000001,0.0,0.0,0.0,0.0081,2
1559193239130491219,6,1559193239130491219,vrs_gps,0,3,37.397119085,127.10720839833333,46.4179,0.0012959999999999998,0.0,0.0,0.0,0.0010890000000000001,0.0,0.0,0.0,0.008649,2
1559193240131222624,7,1559193240131222624,vrs_gps,0,3,37.39714863166667,127.10720907000001,46.3716,0.0012959999999999998,0.0,0.0,0.0,0.0010890000000000001,0.0,0.0,0.0,0.008464,2
1559193241132936403,8,1559193241132936403,vrs_gps,0,3,37.397183303333335,127.10720983666667,46.3659,0.0008410000000000001,0.0,0.0,0.0,0.0008410000000000001,0.0,0.0,0.0,0.0043560000000000005,2
1559193242129584805,9,1559193242129584805,vrs_gps,0,3,37.39722252166666,127.10721040499999,46.343,0.0008410000000000001,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0046240000000000005,2
